State,Year,Mo,Day,Victim,County,Race,Sex,Mob,Offense,Note,2nd Name,3rd Name,Comments,Source
AL,1904,4,30,Gaines Hall,Autauga ,Blk,Male,,Assaulted woman (rape),,,,,
AL,1908,4,5,Walter Clayton,Baldwin ,Blk,Male,,Rape,,,,,
AL,1919,6,15,Frank Foukal,Baldwin ,Wht,Male,,Murder,,Frank Fokall,Frank Roukal,,
AL,1885,10,21,George Ward,Barbour ,Blk,Male,,Murder,,,,,
AL,1911,2,12,Iver Peterson,Barbour ,Blk,Male,,Attempted assault (rape),,,,,
AL,1922,1,10,Wm. Jenkins,Barbour ,Blk,Male,,Insulted woman,,Willie Jenkins,,,
AL,1886,11,23,John Davis,Bibb ,Blk,Male,,Assaulted woman (rape),,,,,
AL,1887,6,2,Unnamed Negro,Bibb ,Blk,Male,,Attm. Criminal Assault,,,,,
AL,1893,7,17,Unnamed Negro,Bibb ,Blk,Male,,Murder,Uncertain,,,,
AL,1893,9,5,Unnamed Negro,Bibb ,Blk,Male,,Rape,,,,,
AL,1896,12,22,Joseph James,Bibb ,Blk,Male,,Assaulted girl (rape),,,,,
AL,1897,2,1,James Jackson,Bibb ,Blk,Male,,Attempted rape,,,,,
AL,1899,6,6,Wm. Hill,Bibb ,Blk,Male,,Accomplice in murder,,,,,
AL,1904,6,23,Joe Scott,Bibb ,Blk,Male,Blk,Murder,,,,,
AL,1910,10,11,Grant Richardson,Bibb ,Blk,Male,,Rape,,,,,
AL,1917,1,4,Unnamed Negro,Bibb ,Blk,Male,,Attempted assault (rape),,,,,
AL,1919,6,18,James McMillian,Bibb ,Blk,Male,,Unknown,,Jim Craig,,,
AL,1923,7,13,Johh Poven,Bibb ,Wht,Male,,Unknown,Uncertain,,,,
AL,1890,7,23,Tobe Williams,Blount ,Blk,Male,,Criminal assault (rape),Uncertain,,,,
AL,1895,10,8,Toby McGrady,Bullock ,Blk,Male,,Rape,,Tobe McGrady,,,
AL,1907,1,4,Will Scott,Bullock ,Blk,Male,,Entered girl's room,,,,,
AL,1891,9,25,Unnamed Negro,Butler ,Blk,Male,,Murder,,,,,
AL,1891,9,25,Unnamed Negro,Butler ,Blk,Male,,Murder,,,,,
AL,1892,12,29,James Hip,Butler ,Unk,Male,,Murder,,John Hopp,,,
AL,1892,12,29,Charles Kelly,Butler ,Unk,Male,,Murder,,,,,
AL,1894,1,8,Samuel Smith,Butler ,Blk,Male,,Attempted murder,,,,,
AL,1895,4,21,Mary Deane,Butler ,Blk,Fe,,Murder,,,,,
AL,1895,4,21,Martha Greene,Butler ,Blk,Fe,,Murder,,,,,
AL,1895,4,21,Alice Green,Butler ,Blk,Fe,,Murder,,,,,
AL,1895,4,21,Zeb Colley,Butler ,Blk,Male,,Murder,,,,,
AL,1895,4,21,John Rateler,Butler ,Blk,Male,,Murder,,John Rattler,,,
AL,1899,7,30,Solomon Jones,Butler ,Blk,Male,,Attm. Assault on woman,,Sol Lewis,,,
AL,1901,5,29,Frank Reeves,Butler ,Blk,Male,,Attempted rape,,,,,
AL,1915,1,5,Dock Hartley,Butler ,Blk,Male,,Burglary,,Dock Harley,,,
AL,1920,10,14,Select Reeves,Butler ,Blk,Male,,Murderous assault,,Select Reid,,,
AL,1882,10,4,John Brooks,Calhoun ,Blk,Male,,Rape,,,,,
AL,1892,3,3,Unnamed Negro,Calhoun ,Blk,Male,,Attempted rape,,,,,
AL,1900,10,29,— Abernathy,Calhoun ,Blk,Male,,Attempted assault (rape),,,,,
AL,1910,10,1,Unnamed Negro,Calhoun ,Blk,Male,,Criminal assault (rape),,,,,
AL,1896,9,18,John Fitch,Chambers ,Blk,Male,,Attempted rape,,,,,
AL,1898,10,23,John Anderson,Chambers ,Blk,Male,,Murder,,,,,
AL,1898,2,13,John Kellogg,Cherokee ,Blk,Male,,Attempted rape,Uncertain,,,,
AL,1898,3,20,John Callow,Cherokee ,Blk,Male,,Attending white girl,,John Collar,John Calloway,,
AL,1885,5,.,Scipio Atchison,Chilton ,Blk,Male,,Threats to kill ,,,,,
AL,1889,10,15,James Hickey,Chilton ,Wht,Male,,Murder,,,,,
AL,1890,3,29,Frank Griffin,Chilton ,Blk,Male,,Rape,,,,,
AL,1891,8,21,Ray Porter,Chilton ,Blk,Male,,Murder,,,,,
AL,1893,7,28,Lindsay Harper,Chilton ,Blk,Male,,Attempted assault (rape),,Isaiah Harper,Ike Harper,,
AL,1894,2,15,Lewis Hendricks,Chilton ,Blk,Male,,Rape & murder,,,,,
AL,1894,2,16,A[bram] Seddon,Chilton ,Blk,Male,,Rape & murder,,,,,
AL,1894,2,16,Wm. George,Chilton ,Blk,Male,,Rape & murder,,,,,
AL,1895,6,4,James Powell,Chilton ,Blk,Male,,Assaulting girl (rape),Uncertain,,,,
AL,1914,3,21,Charles Young,Chilton ,Blk,Male,,Assault (rape) & robbery,,,,,
AL,1882,8,19,Jack Turner,Choctaw ,Blk,Male,,Incendiarism,,John Turner,,,
AL,1891,12,25,Robert Sims,Choctaw ,Wht,Male,,Outlaw,,,,,
AL,1891,12,25,Tom Savage,Choctaw ,Wht,Male,,Outlaw,,,,,
AL,1891,12,25,John Savage,Choctaw ,Wht,Male,,Outlaw,,Con Savage,,,
AL,1891,12,25,Young Savage,Choctaw ,Wht,Male,,Outlaw,,,,,
AL,1891,12,25,— Savage,Choctaw ,Wht,Male,,Outlaw,,,,,
AL,1891,12,26,John Sims,Choctaw ,Wht,Male,,Outlaw,,,,,
AL,1891,12,26,Mosely Sims,Choctaw ,Wht,Male,,Outlaw,Uncertain,Jim Mosely,,,
AL,1892,1,17,Harry Hinton,Choctaw ,Blk,Male,,Outlaw,,Henry Hinton,,,
AL,1892,5,5,G. H. Rose,Choctaw ,Blk,Male,,Attempted rape,,George Ho[e][s]s,,,
AL,1902,6,21,Wiley Campbell,Choctaw ,Blk,Male,,Attempted murder,,Willy Campbell,,,
AL,1912,12,6,Azariah Curtis,Choctaw ,Blk,Male,,Murder,,,,,
AL,1921,12,.,Drew Connor,Choctaw ,Wht,Male,,Unknown,,,,,
AL,1921,7,28,— Jordan,Choctaw ,Blk,Male,,Murder,Uncertain,,,,
AL,1885,12,28,Alexander Reed,Clarke ,Blk,Male,,Murder,,,,,
AL,1893,8,10,Tooch Bedsoe,Clarke ,Wht,Male,,Outlaw,,,,,
AL,1893,8,11,Kirk James,Clarke ,Wht,Male,,Outlaw,,Kurt Chambers,,,
AL,1893,8,11,Levi James,Clarke ,Wht,Male,,Outlaw,,Lee James,,,
AL,1893,8,12,Henry Smith,Clarke ,Wht,Male,,Outlaw,,Andy Smith,,,
AL,1912,6,19,Tom Jackson,Clarke ,Blk,Male,,Murder,,,,,
AL,1915,5,3,Jesse Hatch,Clarke ,Blk,Male,,Attacked woman (rape),,,,,
AL,1919,8,2,Archie Robinson,Clarke ,Blk,Male,,Assault,,Argo Robinson,,,
AL,1919,8,2,Unnamed Negro,Clarke ,Blk,Male,,Assault,,,,,
AL,1892,7,5,Edward Prater,Clay ,Blk,Male,,Criminal assault (rape),,,,,
AL,1897,7,19,George Richardson,Clay ,Blk,Male,,Attempted rape,,James Daniel,,,
AL,1909,11,23,Ray Rolston,Cleburne ,Blk,Male,,Criminal Assault (rape),,,,,
AL,1901,8,7,John W. Pennington,Coffee ,Blk,Male,,Rape,,,,,
AL,1883,4,28,George Ware,Colbert ,Blk,Male,,Murder,,,,,
AL,1885,5,9,— Jordan,Colbert ,Blk,Male,,Attempted  assault (rape),,,,,
AL,1888,1,1,Oscar Coger,Colbert ,Blk,Male,,Attempted arson,,,,,
AL,1894,4,22,Fayett Delaney,Colbert ,Blk,Male,,Arson,,Thomas Black,,,
AL,1894,4,22,Emmet Delaney,Colbert ,Blk,Male,,Arson,,John Williams,,,
AL,1894,4,22,Ed Felton,Colbert ,Blk,Male,,Arson,,Tony Johnson,,,
AL,1902,4,6,Wm. Reynolds,Colbert ,Blk,Male,,Murder,,,,,
AL,1909,1,24,Samuel Davenport,Colbert ,Blk,Male,,Barn-buring,,,,,
AL,1918,11,10,Wm. Bird,Colbert ,Blk,Male,,Threats to kill,,Will Bird,,,
AL,1918,11,12,George Whiteside,Colbert ,Blk,Male,,Murder,,,,,
AL,1883,6,13,Jordan Corbin,Coosa ,Blk,Male,,Murder,,Jerdon Corbin ,Jordan Carbin,,
AL,1906,2,20,— Pedigree,Covington ,Blk,Male,,Rape,Uncertain,— Pedigrie,,,
AL,1907,11,30,Neal Sanders,Covington ,Blk,Male,,Assaulted woman (rape),,Newt Saunders,,,
AL,1910,10,3,Bush Withers,Covington ,Blk,Male,,Criminal assault (rape),,,,,
AL,1910,10,3,— Reeves,Covington ,Blk,Male,,Rape & murder,,,,,
AL,1913,2,25,Jim Green,Covington ,Blk,Male,,Murderous assault,,,,,
AL,1918,5,21,John Womack,Covington ,Blk,Male,,Attempted rape,,John Ronach,,,
AL,1920,1,15,Jack Waters,Covington ,Blk,Male,,Assaulted woman (rape),,Jack Walters,,,
AL,1893,12,27,Mack Segars,Crenshaw ,Blk,Male,,Attempted assault (rape),,,,,
AL,1899,8,16,Charles Hurt,Crenshaw ,Blk,Male,,Attempted assault (rape)  ,,Charles Hunt,,,
AL,1920,7,29,Sills Spinks,Dale ,Blk,Male,,Murderous assault,,,,,
AL,1920,7,29,Juster Jennings,Dale ,Blk,Male,,Murderous assault,,,,,
AL,1882,4,13,Henry Ivy,Dallas ,Blk,Male,,Murder,,,,,
AL,1882,4,13,Jim Acoff,Dallas ,Blk,Male,,Murder,Uncertain,Simeon Arcoff,,,
AL,1892,2,13,Wm. Webb,Dallas ,Blk,Male,,Assaulted woman (rape),,Wiley Webb,Riley Webb,,
AL,1893,6,22,Daniel Edwards,Dallas ,Blk,Male,,Rape,,,,,
AL,1893,12,6,Benjamin Minter,Dallas ,Blk,Male,,Murder,,Benjamin Minty,,,
AL,1893,12,7,Jim Wilkins,Dallas ,Blk,Male,,Murder,,Robert Wilkins,,,
AL,1893,12,8,Joseph Givham,Dallas ,Blk,Male,,Murder,,Joseph Givhen,Joseph Giohen,,
AL,1896,8,1,Isidore Mobley,Dallas ,Blk,Male,,Attempted murder,,Isadore Moreley,,,
AL,1896,8,1,Wm. Hunter,Dallas ,Blk,Male,,Attempted murder,,,,,
AL,1898,3,21,Sam Ellis,Dallas ,Blk,Male,,Attempted murder,,,,,
AL,1901,5,1,Edward Mays,Dallas ,Blk,Male,,Implicated in murder,Uncertain,,,,
AL,1901,5,1,Dock Mays,Dallas ,Blk,Male,,Implicated in murder,Uncertain,,,,
AL,1901,5,1,Robert Dawson,Dallas ,Blk,Male,,Implicated in murder,Uncertain,,,,
AL,1904,8,6,Edmund Bell,Dallas ,Blk,Male,Blk,Murder,,,,,
AL,1898,6,17,Soloman Jackson,Elmore ,Blk,Male,,Murder,,,,,
AL,1898,6,17,Louis Spier,Elmore ,Blk,Male,,Murder,,,,,
AL,1898,6,17,Ham Thompson,Elmore ,Blk,Male,,Murder,,,,,
AL,1898,6,17,Reese Thompson,Elmore ,Blk,Male,,Murder,,Camp Reese,,,
AL,1899,8,20,Peter Louin,Elmore ,Blk,Male,,Murderous assault,,Peter Lonin,,,
AL,1899,8,20,Son of Peter Louin,Elmore ,Blk,Male,,Murderous assault,,Son of P. Lonin,,,
AL,1900,9,10,Zeb Floyd,Elmore ,Blk,Male,,Attempted rape,,Zed Floyd,,,
AL,1900,10,2,Wallace Townsend,Elmore ,Blk,Male,,Attempted rape,,Winfield Thomas,Winfield Townsend,,
AL,1901,7,.,Bob White,Elmore ,Blk,Male,,Shot at man,,,,,
AL,1912,11,10,— Berney,Elmore ,Blk,Male,,Injuring girl,Uncertain,,,,
AL,1915,1,4,Ed Smith,Elmore ,Blk,Male,,Murder,,Edwin Smith,,,
AL,1915,1,4,Wm. Smith,Elmore ,Blk,Male,,Murder,,Will Smith,,,
AL,1912,2,18,Unnamed Negro,Escambia ,Blk,Male,,Murder,Uncertain,,,,
AL,1889,5,21,Noah Dickson,Etowah ,Blk,Male,,Attempted rape,,Neah Dickson,,,
AL,1906,2,11,Bunk Richardson,Etowah ,Blk,Male,,Rape & murder,,Bunkie Richardson,,,
AL,1882,1,17,Fred Britton,Franklin ,Wht,Male,,Murder,,Theodore Burton,,,
AL,1888,1,27,David Dunce,Franklin ,Unk,Male,,Murder,,,,,
AL,1891,3,28,El Hudson,Franklin ,Blk,Male,,Arson,,Elrod Hudson,,,
AL,1891,3,28,Jeff Denzmore,Franklin ,Blk,Male,,Arson,,Jefferson Densmore,,,
AL,1900,5,5,Unnamed Negro,Geneva ,Blk,Male,,Criminal assault (rape),,,,,
AL,1907,3,25,Unnamed Negro,Geneva ,Blk,Male,,Attempted rape,Uncertain,,,,
AL,1920,9,13,Alto Windham,Geneva ,Wht,Male,,Insulted white woman,,,,,
AL,1884,7,16,Joe Robertson,Greene ,Blk,Male,Blk,Rape,,,,,
AL,1896,5,8,Redden Williams,Greene ,Wht,Male,,Incest,,Ed[d]en Williams,Radden H. Williams,,
AL,1884,9,18,— Short,Hale ,Blk,Male,,Rape,,,,,
AL,1887,8,23,Jack Myrick,Henry ,Blk,Male,Blk,Assaulted woman (rape),,John Myrich,,,
AL,1891,8,6,Ella Williams,Henry ,Blk,Fe,,Arson,,,,,
AL,1891,8,6,Lizzie Lowe,Henry ,Blk,Fe,,Arson,,Eliza Lowe,,,
AL,1891,8,6,Willis Lowe,Henry ,Blk,Male,,Arson,,,,,
AL,1891,8,6,Belle Williams,Henry ,Blk,Unk,,Arson,,Bell Williams,,,
AL,1913,12,2,Unnamed Negro,Henry ,Blk,Male,,Attempted assault (rape),,,,,
AL,1920,8,12,Monroe Wood,Henry ,Blk,Male,,Insulted white woman,,Monroe Woods,,,
AL,1893,10,9,John Booker Davis,Henry Co.,Blk,Male,,Entered girl's room,Uncertain,,,,
AL,1900,7,5,John Roe,Houston ,Blk,Male,,Attempted rape,,,,,
AL,1910,7,2,Henry McKinney,Houston ,Blk,Male,,Entered girl's room,Uncertain,,,,
AL,1883,4,10,Samuel Lewis,Indeterminant,Blk,Male,Blk,Murder,,,,,
AL,1911,8,29,Will Davis,Indeterminant,Blk,Male,,Murder,Uncertain,,,,
AL,1895,5,5,Andy Hames,Jackson ,Wht,Male,,Murder,Uncertain,,,,
AL,1897,3,18,John Smith,Jackson ,Blk,Male,,Attempted assault (rape),,,,,
AL,1903,6,29,Andrew Dimms,Jackson ,Blk,Male,,Attempted assault (rape),,Andrew Diggs,,,
AL,1883,11,24,Lewis Houston,Jefferson ,Blk,Male,,Attempted rape,,Lewis Huston,,,
AL,1887,9,18,Monroe Johnson,Jefferson ,Blk,Male,,Murder,,,,,
AL,1888,5,1,George Martin,Jefferson ,Wht,Male,,Murder,,George Morton,,,
AL,1888,3,18,Jeff Curry,Jefferson ,Blk,Male,,Threats to kill,,Jen Curry,,,
AL,1888,4,23,Hardy Posey,Jefferson ,Blk,Male,,Attempted rape,,,,,
AL,1889,1,15,George Meadows,Jefferson ,Blk,Male,,Sexual assault & murder,,,,,
AL,1889,9,27,John Sleet,Jefferson ,Blk,Male,,Murder,,John Steel,,,
AL,1890,11,16,Henry Smith,Jefferson ,Blk,Male,,Assaulting woman (rape),,,,,
AL,1890,11,17,Unnamed Negro,Jefferson ,Blk,Male,,Inciting to riot,,,,,
AL,1896,10,9,James Anderson,Jefferson ,Blk,Male,,Murder,,,,,
AL,1896,12,7,Wm. Wardley,Jefferson ,Blk,Male,,Counterfeiting,,,,,
AL,1897,7,3,Jim Thomas,Jefferson ,Blk,Male,,Entered woman's room,,,,,
AL,1901,5,10,Unnamed Negro,Jefferson ,Blk,Male,,Mistaken identity,,,,,
AL,1907,9,3,Jerry Johnson,Jefferson ,Blk,Male,,Attempted assault (rape),Uncertain,,,,
AL,1908,8,5,Will Millans,Jefferson ,Blk,Male,,Dynamiting,,Wm. Miller,,,
AL,1909,4,25,John Thomas,Jefferson ,Blk,Male,,Criminal assault (rape),,,,,
AL,1912,1,28,John Chandler,Jefferson ,Blk,Male,,Murder,,,,,
AL,1912,11,1,Will Smith,Jefferson ,Blk,Male,,Murder,,Wm. Smith,,,
AL,1913,8,23,Wilson Gardner,Jefferson ,Blk,Male,,Unknown,,,,,
AL,1894,6,27,Ed White,Lamar ,Blk,Male,,Assaulted woman (rape),,,,,
AL,1897,3,15,Andy Beard,Lamar ,Blk,Male,,Eloped with white girl,,,,,
AL,1897,5,30,John Hayden,Lamar ,Blk,Male,,Mistaken identity,,,,,
AL,1897,12,13,Louis Bonner,Lamar ,Blk,Male,,Testifying,Uncertain,,,,
AL,1897,12,13,John Bonner,Lamar ,Blk,Male,,Testifying,Uncertain,,,,
AL,1898,9,11,Albert Anderson,Lamar ,Blk,Male,,Murder,,,,,
AL,1907,3,24,Cleveland Harding,Lauderdale ,Blk,Male,,Attempted assault (rape),,,,,
AL,1888,7,1,Calvin Moody,Lawrence ,Blk,Male,Blk,Murder,,Calvin Mundy,,,
AL,1899,11,1,Andrew Sloss,Lawrence ,Blk,Male,,Attempted rape,,Albert Sloss,,,
AL,1901,3,3,"""Bud"" Davis",Lawrence ,Blk,Male,Blk,Shot woman,Uncertain,,,,
AL,1901,7,16,Alexander Herman,Lawrence ,Blk,Male,Blk,Murder,,,,,
AL,1886,11,3,John Hart,Lee ,Blk,Male,,Murder,Uncertain,,,,
AL,1887,11,5,George Hart,Lee ,Blk,Male,,Murder,,,,,
AL,1900,3,18,Charles Humphries,Lee ,Blk,Male,,Attempted rape,,,,,
AL,1902,11,3,Samuel Harris,Lee ,Blk,Male,,Murderous assault,,,,,
AL,1901,6,15,Joe Harris,Limestone ,Blk,Male,,Barn burning,,George Harris,,,
AL,1888,3,29,Theo Calloway,Lowndes ,Blk,Male,,Murder,,,,,
AL,1896,6,24,Wm. Westmoreland,Lowndes ,Blk,Male,Blk,Murder,,,,,
AL,1900,3,2,Mrs. Jim Cross,Lowndes ,Blk,Fe,,Unknown,,,,,
AL,1900,3,2,Daughter of J. Cross,Lowndes ,Blk,Fe,,Unknown,,,,,
AL,1900,3,2,Son of Jim Cross,Lowndes ,Blk,Male,,Unknown,,,,,
AL,1900,3,2,Jim Cross,Lowndes ,Blk,Male,,Unknown        ,,James Crosby,,,
AL,1914,12,18,Wm. Jones,Lowndes ,Blk,Male,,Attempted assault (rape),,,,,
AL,1917,7,24,Will Powell,Lowndes ,Blk,Male,,Threat to kill,,,,,
AL,1917,7,24,Jesse Powell,Lowndes ,Blk,Male,,Threat to kill,,,,,
AL,1882,8,25,Leonard Coker,Macon ,Blk,Male,,Rape & murder,,,,,
AL,1883,10,9,Wes Brown,Madison ,Blk,Male,,Murder,,,,,
AL,1890,3,21,Robert Moseley,Madison ,Blk,Male,,Attempted rape,,,,,
AL,1897,5,12,Mollie Smith,Madison ,Blk,Fe,,Murder,,Molly White,,,
AL,1897,5,12,Amanda Franks,Madison ,Blk,Fe,,Murder,,,,,
AL,1897,5,12,Jim Nance,Madison ,Blk,Male,,Murder,,Jim Williams,,,
AL,1900,7,23,Elijah Clark,Madison ,Blk,Male,,Criminal assault (rape),,,,,
AL,1904,9,7,Horace Maples,Madison ,Blk,Male,,Murder,,,,,
AL,1915,1,18,Herman Deely,Madison ,Blk,Male,,Murder,,Herman Desley,Herman Deeley,,
AL,1890,3,20,J. Stratton,Marengo ,Wht,Male,,Murder,,,,,
AL,1893,8,20,Monroe Smith,Marengo ,Blk,Male,,Attempted rape,,,,,
AL,1904,8,16,Rufus Lesseur,Marengo ,Blk,Male,,Robbery,,Rufus Lesuere,,,
AL,1909,12,20,Clinton Montgomery,Marengo ,Blk,Male,,Murder,,,,,
AL,1912,8,4,Sam Verge,Marengo ,Blk,Male,,Accomplice in murder,,,,,
AL,1912,8,27,Willis Perkins,Marion ,Blk,Male,,Race prejudice,,,,,
AL,1891,3,31,Zachariah Graham,Mobile ,Blk,Male,,Attempted rape,,Zachioli Grohan,,,
AL,1906,10,6,Cornelius Robinson,Mobile ,Blk,Male,,Assaulted girls (rape),,Dick Robinson,,,
AL,1906,10,6,Will Thompson,Mobile ,Blk,Male,,Assaulted girls (rape),,Henry Peters,,,
AL,1907,9,22,Moses Dossett,Mobile ,Blk,Male,,Attempted assault (rape),,,,,
AL,1909,1,23,Douglas Roberson,Mobile ,Blk,Male,,Murder,,Douglas Robertson,,,
AL,1910,7,31,Bill Walker,Mobile ,Blk,Male,,Rape & murder,Uncertain,Wm. Wallace,,,
AL,1919,6,6,James E. Lewis,Mobile ,Blk,Male,,Unknown,,,,,
AL,1892,10,13,Burrill Jones,Monroe ,Blk,Male,,Murder,,Burrell Johnston,,,
AL,1892,10,13,Moses Johnson,Monroe ,Blk,Male,,Murder,,Moses Jones,,,
AL,1892,10,13,Jim Packard,Monroe ,Blk,Male,,Murder,,Jim Packer,,,
AL,1892,10,13,John Packard,Monroe ,Blk,Male,,Murder,,John Packer,,,
AL,1892,10,30,Allen Parker,Monroe ,Blk,Male,,Arson,,,,,
AL,1897,8,26,John Pharr,Monroe ,Blk,Male,,Murder,,Jack Pharr,,,
AL,1915,8,8,James Fox,Monroe ,Blk,Male,,Murderous assault,,,,,
AL,1890,8,9,Ike Cook,Montgomery ,Blk,Male,,Terrorism,Uncertain,Issac Cook,,,
AL,1894,3,29,Oliver Jackson,Montgomery ,Blk,Male,,Murder,,,,,
AL,1896,2,15,Robert Williams,Montgomery ,Blk,Male,,Murder,,Robert Wilson,,,
AL,1897,11,25,Henry Abrams,Montgomery ,Blk,Male,Blk,Incest,,,,,
AL,1910,10,7,John Dell,Montgomery ,Blk,Male,,Race prejudice,Uncertain,,,,
AL,1915,8,18,"""Kid"" Jackson",Montgomery ,Blk,Male,,Poisoning mules,,,,,
AL,1915,8,18,Unnamed Negro,Montgomery ,Blk,Male,,Poisoning mules,,,,,
AL,1915,8,18,Henry Russell,Montgomery ,Blk,Male,,Poisoning mules,,Ed Russell,,,
AL,1919,9,29,Miles Phifer,Montgomery ,Blk,Male,,Criminal assault (rape),,,,,
AL,1919,9,29,Robert Croskey,Montgomery ,Blk,Male,,Criminal assault (rape),,,,,
AL,1919,9,30,John Temple,Montgomery ,Blk,Male,,Murder,,,,,
AL,1920,3,11,Wilbur Smith,Montgomery ,Blk,Male,,Attacked girl (rape),,,,,
AL,1896,6,20,Leon Orr,Morgan ,Blk,Male,,Rape,,,,,
AL,1908,10,20,Tom Stover,Morgan ,Blk,Male,,Attempted assault (rape),,,,,
AL,1900,12,28,George Fuller,Perry ,Blk,Male,,Barn burning,,,,,
AL,1886,10,21,Unnamed Negro,Pickens ,Blk,Unk,,Arson,,,,,
AL,1886,10,21,Unnamed Negro,Pickens ,Blk,Unk,,Arson,,,,,
AL,1886,10,21,Unnamed Negro,Pickens ,Blk,Unk,,Arson,,,,,
AL,1893,9,14,Ellen Fant,Pickens ,Blk,Fe,,Arson,,Emma Fair,,,
AL,1893,1,17,David Williams,Pickens ,Blk,Male,,Miscegenation,,James Williams,,,
AL,1893,8,.,Joe Floyd,Pickens ,Blk,Male,,Murder,,,,,
AL,1893,9,14,Polk Hill,Pickens ,Blk,Male,,Arson,,Paul Hill,Paul Hull,,
AL,1893,9,14,Paul Archer,Pickens ,Blk,Male,,Arson,,,,,
AL,1893,9,14,Wm. Archer,Pickens ,Blk,Male,,Arson,,,,,
AL,1893,9,14,Ed Guyton,Pickens ,Blk,Male,,Arson,,,,,
AL,1904,7,9,Unnamed Negro,Pickens ,Blk,Male,,Proposals to white women,,,,,
AL,1907,8,21,John Lipsey,Pickens ,Blk,Male,,Rape,,,,,
AL,1917,7,16,Unnamed Negro,Pickens ,Blk,Male,,Burglary,,,,,
AL,1917,7,23,Poe Hibbler,Pickens ,Blk,Male,,Entered girl's room,,Poe Habbler,,,
AL,1899,1,4,Marshall McGregor,Pike ,Blk,Male,,Arson,Uncertain,,,,
AL,1901,9,3,Bill Fournery,Pike ,Blk,Male,,Attacked girls,,Bill Hilliard,,,
AL,1902,3,22,Ben Ziegler,Pike ,Blk,Male,,Attempted rape,,Wm. Zeigler,,,
AL,1911,3,11,Jackson Walker,Pike ,Blk,Male,,Criminal assault (rape),,,,,
AL,1911,4,2,Abberdine Johnson,Pike ,Blk,Male,,Assaulted woman (rape),,Jack Walker,,,
AL,1896,4,12,Reddick Adams,Russell ,Blk,Male,,Assault & robbery,,,,,
AL,1890,6,7,Unnamed Negro,Shelby ,Blk,Male,,Assulted white woman,Uncertain,,,,
AL,1900,7,10,John Jennings,Shelby ,Blk,Male,,Murder,,,,,
AL,1901,1,2,Louis McAdams,Shelby ,Blk,Male,,Murderous assault,,,,,
AL,1910,5,27,Jesse Matson,Shelby ,Blk,Male,,Murder,,,,,
AL,1888,7,13,Frank Stone,St. Clair,Blk,Male,,Attempted rape,,,,,
AL,1893,2,20,Dick Mays,St. Clair,Blk,Male,,Rape,,,,,
AL,1896,2,9,Joseph Leeds,St. Clair,Blk,Male,,Att. criminal assault (rape),,James Leeds,,,
AL,1910,9,14,Isaac Glover,St. Clair,Blk,Male,,Murder,Uncertain,,,,
AL,1888,7,13,Jim Torney,St. Clair ,Blk,Male,,Eloped with white girl ,Uncertain,Joseph Torney,,,
AL,1901,8,2,Charley Bentley,St. Clair ,Blk,Male,,Murder,,,,,
AL,1886,7,13,John Renfroe,Sumter ,Wht,Male,,Attempted murder,,Stephen Rentrae,,,
AL,1894,2,26,Thomas Douglas,Sumter ,Blk,Male,,Murder,,,,,
AL,1909,9,13,John Holly,Sumter ,Blk,Male,,Murder,,,,,
AL,1912,12,19,Unnamed Negro,Sumter ,Blk,Male,,Murder,,,,,
AL,1916,1,24,Richard Burton,Sumter ,Blk,Male,,Assault & robbery,,,,,
AL,1930,7,4,Jacob Robertson,Sumter ,Blk,Male,,Murder,,,,,
AL,1891,9,29,John Brown,Talladega ,Blk,Male,Blk,Testifying,,,,,
AL,1892,5,16,Berry Roden,Talladega ,Blk,Male,,Rape,,Berry Rowden,,,
AL,1892,5,16,Jim Roden,Talladega ,Blk,Male,,Rape,,Jim Rowden,,,
AL,1892,5,16,Will Carter,Talladega ,Blk,Male,,Rape,,Wm. Cantor,,,
AL,1907,11,3,Fred Singleton,Talladega ,Blk,Male,,Murder,Uncertain,,,,
AL,1893,6,22,Ernest Murphrey,Tallapoosa ,Blk,Male,,Criminal assault (rape),,Ernest Murphy,,,
AL,1884,7,18,Andy Burke,Tuscaloosa ,Blk,Male,,Attempted rape,,Henry Burke,Henry Rurk,,
AL,1889,12,26,Bud Wilson,Tuscaloosa ,Blk,Male,,Attempted rape,,,,,
AL,1892,2,10,Unnamed Negro,Tuscaloosa ,Blk,Male,,Robbery & arson,,,,,
AL,1892,2,10,Unnamed Negro,Tuscaloosa ,Blk,Male,,Robbery & arson,,,,,
AL,1898,7,13,Sidney Johnson,Tuscaloosa ,Blk,Male,,Rape,,,,,
AL,1921,1,13,Wm. Beard,Walker ,Wht,Male,,Murder,,,,,
AL,1892,6,18,Christian Chalma,Washington ,Wht,Male,,Attempted murder,,Chris. Chambers,Chris. Chambliss,,
AL,1895,10,22,Dick Henderson,Washington ,Blk,Male,,Attempted rape,,Jack Henderson,John Henderson,,
AL,1907,11,2,Hank Lucas,Washington ,Blk,Male,,Complicity in murder,,Henry Lucas,,,
AL,1907,11,2,Abe Sumrell,Washington ,Blk,Male,,Murder,,Abram Sumroll,,,
AL,1894,4,12,Wm. Lewis,Wilcox ,Blk,Male,,Murder,Uncertain,,,,
AL,1903,12,26,Arthur Stewart,Wilcox ,Blk,Male,,Shot man,,,,,
AL,1905,3,14,Edward Ptomey,Wilcox ,Blk,Male,,Murder,,Ed Plowly,Ed Plowmey,,
AL,1905,3,14,Will Ptomey,Wilcox ,Blk,Male,,Murder,,Will Plowly,Wm.Plowmey,,
